Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,OLARIA,RESIDENCIAL,APARTAMENTO,4,15939.66
2013,02,OLARIA,NAO RESIDENCIAL,LOJA,2,8653.66
2013,02,OLARIA,NAO RESIDENCIAL,SALA,1,4068.93
2013,02,OLARIA,NAO RESIDENCIAL,GALPAO,1,1572.05
2013,02,PAVUNA,RESIDENCIAL,CASA,6,17402.49
2013,02,PAVUNA,RESIDENCIAL,APARTAMENTO,3,6318
2013,02,PAVUNA,RESIDENCIAL,APARTAMENTO (PROLETARIO),1,1800
2013,02,PAVUNA,TERRITORIAL,TERRENO,1,2835.99
2013,02,TANQUE,RESIDENCIAL,CASA,2,16600
2013,02,TANQUE,RESIDENCIAL,APARTAMENTO,12,106250.74
2013,02,TANQUE,TERRITORIAL,TERRENO,1,2400
2013,02,TANQUE,NAO RESIDENCIAL,SALA,2,4427.26
2013,02,TIJUCA,RESIDENCIAL,CASA,7,55400.75
2013,02,TIJUCA,RESIDENCIAL,APARTAMENTO,103,1037469.67
2013,02,TIJUCA,NAO RESIDENCIAL,LOJA,3,30717.14
2013,02,TIJUCA,NAO RESIDENCIAL,SALA,12,48438.71
2013,02,TIJUCA,NAO RESIDENCIAL,GALPAO,2,27993.51
2013,02,ANDARAI,RESIDENCIAL,CASA,2,14110.57
2013,02,ANDARAI,RESIDENCIAL,APARTAMENTO,26,214641.86
2013,02,ANDARAI,RESIDENCIAL,APARTAMENTO (PROLETARIO),1,7200
2013,02,ANDARAI,NAO RESIDENCIAL,LOJA,2,5136.07
2013,02,BENFICA,RESIDENCIAL,CASA,1,3400
2013,02,BENFICA,RESIDENCIAL,APARTAMENTO,4,9210.38
2013,02,BENFICA,NAO RESIDENCIAL,LOJA,3,7265.96
2013,02,CAMORIM,RESIDENCIAL,APARTAMENTO,13,78468.43
2013,02,CATUMBI,NAO RESIDENCIAL,ESPECIAL,1,13487.44
2013,02,COLEGIO,AREA COMUM,TERRENO,1,48.28
